lat	lon	title	description	iconSize	iconOffset	icon
5420559.1852292	1471272.9741779	SenaLUG	<a href="http://www.senalug.org/">http://www.senalug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5310259.6382291	1543432.4944899	Astrolabe	<a href="http://astrolabe.it/">http://astrolabe.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5303698.3152113	1545289.3035961	FSUGSBT	<a href="http://sites.google.com/site/fsugsbt/">http://sites.google.com/site/fsugsbt/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5289901.5309556	1511150.9553593	LUG/FSUG Ascoli	<a href="http://lugascoli.kairosmedia.it">http://lugascoli.kairosmedia.it</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5337068.4552181	1527669.6545958	Fermo Lug	<a href="http://www.linuxfm.org/">http://www.linuxfm.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5333282.7256879	1454853.3492882	Camelug	<a href="http://camelug.it/">http://camelug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5357465.5168843	1496254.1811034	Gruppo Linux Macerata	<a href="http://www.gruppolinuxmc.it/">http://www.gruppolinuxmc.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5441088.1935617	1448785.6800683	Fortunae Lug	<a href="http://www.fanolug.org/">http://www.fanolug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5414002.6686993	1406335.8624276	Hacklab-42	<a href="http://hacklab-42.dark-lab.net/">http://hacklab-42.dark-lab.net/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5414002.6686993	1409335.8624276	Urbino-LUG	<a href="http://urbino-lug.tumblr.com/">http://urbino-lug.tumblr.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5142025.231757	1671354.1741223	SMALug	<a href="http://smalug.org/">http://smalug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5607749.0440978	959456.01184422	AlLug	<a href="http://www.alessandria.linux.it/">http://www.alessandria.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5605470.0834259	913581.2496947	Progetto Radis	<a href="http://www.progettoradis.it/">http://www.progettoradis.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5710094.8481959	896124.12715093	BiLug	<a href="http://www.bilug.linux.it/">http://www.bilug.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5527137.220791	839853.23775767	GlugCN	<a href="http://cuneo.linux.it/">http://cuneo.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5597473.1215623	859167.16940761	ABC Lug	<a href="http://abc.linux.it/">http://abc.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5697656.1294778	968116.66822673	Gallug	<a href="http://www.gallug.it/">http://www.gallug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5691147.3569492	959222.24091359	LiNOx	<a href="http://linoxnovara.wordpress.com/">http://linoxnovara.wordpress.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5695403.3299043	876618.39201837	Accademia Hardware e Software Libero "Adriano Olivetti"	<a href="http://www.accademialiberaivrea.eu/">http://www.accademialiberaivrea.eu/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5632625.5279926	855692.88810044	GlugTO	<a href="http://glugto.org/">http://glugto.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5695403.3299043	879618.39201837	IvLug	<a href="http://www.ivlug.it/">http://www.ivlug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5632625.5279926	858692.88810044	Officina Informatica Libera	<a href="http://informaticalibera.info/">http://informaticalibera.info/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5632625.5279926	861692.88810044	Prometeo Libero	<a href="http://www.openlabto.org/">http://www.openlabto.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5632625.5279926	864692.88810044	Underscore HackLab	<a href="http://www.autistici.org/underscore/">http://www.autistici.org/underscore/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5635554.6501831	821610.19960901	ValSusinux	<a href="http://www.valsusinux.it/">http://www.valsusinux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5007361.8711746	1905209.7075686	Linux Club Conversano	<a href="http://lxcc.it.gg/">http://lxcc.it.gg/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4981861.4001748	1865190.350634	MurgiaLug	<a href="http://www.open-pc.eu/index.php/murgialug">http://www.open-pc.eu/index.php/murgialug</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4957586.0245416	1996717.6685727	BriLug	<a href="http://www.brilug.it/">http://www.brilug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4946620.9122386	1972638.1495225	LatLug	<a href="http://www.latlug.org/">http://www.latlug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4917961.3580001	2022900.0128036	Salento Open Source	<a href="http://www.softwareliberosalento.it/">http://www.softwareliberosalento.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4917961.3580001	2025900.0128036	SaLug	<a href="http://salug.it/">http://salug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4952337.951812	1905264.2541191	MassLug	<a href="http://masslug.wordpress.com/">http://masslug.wordpress.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4751420.6609082	1016861.2468485	GULCh	<a href="http://www.gulch.it/">http://www.gulch.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4851865.2056883	956450.38559322	GNUraghe	<a href="http://www.gnuraghe.org/">http://www.gnuraghe.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4972189.553372	952926.0105152	Plugs	<a href="http://www.plugs.it/">http://www.plugs.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4507311.2699405	1563478.9083892	CLug	<a href="http://www.clug.it/">http://www.clug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4450311.0706719	1584152.0510215	Istituto Ettore Majorana	<a href="http://www.istitutomajorana.it/">http://www.istitutomajorana.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4507311.2699405	1566478.9083892	VPLug	<a href="http://www.vplug.it/">http://www.vplug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4509330.2679756	1679498.3080676	CataniaLUG	<a href="http://catania.linux.it/">http://catania.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4509330.2679756	1682498.3080676	EtnaLUG	<a href="http://sites.google.com/site/etnalug/">http://sites.google.com/site/etnalug/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4509330.2679756	1685498.3080676	FreakNet MediLab	<a href="http://www.freaknet.org/">http://www.freaknet.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4517292.1960882	1590663.1280371	EnnaLUG	<a href="http://leonforte.linux.it/">http://leonforte.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4517292.1960882	1593663.1280371	KoreLug	<a href="http://www.korelug.it/">http://www.korelug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4606764.4735463	1730983.5725523	Lug Messina	<a href="http://www.messinalug.org/">http://www.messinalug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4595800.2386128	1487201.6801133	SputniX	<a href="http://www.sputnix.it/">http://www.sputnix.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4429109.0825593	1638310.0964798	SoLiRa	<a href="http://www.solira.org/">http://www.solira.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4426756.3382562	1685320.9853522	ALug	<a href="http://linuxavola.blogspot.it/">http://linuxavola.blogspot.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4450982.2537647	1700182.582649	Lug Siracusa	<a href="http://www.siracusa.linux.it/">http://www.siracusa.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
